Location,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.45,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.02,33736.494,34656.032,35530.081,36373.176
Africa,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.67,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1225080.51,1256268.025,1287920.518
Albania,3092.228,3093.041,3103.759,3115.576,3121.97,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2926.348,2930.187,2934.363
Algeria,29411.415,29886.839,30335.732,30765.613,31183.66,31592.153,31995.046,32403.514,32831.096,33288.437,33777.915,34300.076,34860.715,35465.76,36117.637,36819.558,37565.847,38338.562,39113.313,39871.528,40606.052,41318.142,42008.054
American Samoa,53.929,54.941,55.901,56.77,57.521,58.175,58.731,59.117,59.264,59.118,58.65,57.903,57.03,56.227,55.637,55.32,55.23,55.307,55.437,55.537,55.599,55.641,55.679
Andorra,64.36,64.327,64.142,64.37,65.39,67.341,70.049,73.182,76.244,78.867,80.991,82.683,83.861,84.462,84.449,83.751,82.431,80.788,79.223,78.014,77.281,76.965,76.953
Angola,14682.284,15088.981,15504.318,15949.766,16440.924,16983.266,17572.649,18203.369,18865.716,19552.542,20262.399,20997.687,21759.42,22549.547,23369.131,24218.565,25096.15,25998.34,26920.466,27859.305,28813.463,29784.193,30774.205
Anguilla,10.058,10.303,10.548,10.793,11.07,11.372,11.692,12.021,12.339,12.638,12.903,13.15,13.36,13.565,13.769,13.951,14.129,14.299,14.459,14.611,14.764,14.909,15.045
Antigua and Barbuda,75.628,77.739,79.851,81.831,83.584,85.057,86.266,87.293,88.257,89.253,90.301,91.381,92.478,93.581,94.661,95.719,96.777,97.824,98.875,99.923,100.963,102.012,103.05
Argentina,35419.682,35833.969,36241.59,36648.068,37057.452,37471.509,37889.37,38309.379,38728.696,39145.488,39558.89,39970.224,40382.389,40799.407,41223.889,41656.879,42096.739,42539.925,42981.515,43417.765,43847.43,44271.041,44688.864
Armenia,3168.215,3133.086,3108.684,3089.017,3069.588,3050.655,3033.897,3017.806,3000.612,2981.259,2958.5,2933.056,2908.22,2888.584,2877.311,2875.581,2881.922,2893.509,2906.22,2916.95,2924.816,2930.45,2934.152
Aruba,83.2,85.451,87.277,89.005,90.853,92.898,94.992,97.017,98.737,100.031,100.832,101.22,101.353,101.453,101.669,102.053,102.577,103.187,103.795,104.341,104.822,105.264,105.67
Asia,3539101.069,3587833.521,3635758.51,3683189.786,3730370.625,3777425.069,3824369.526,3871201.74,3917871.151,3964342.662,4010602.667,4056684.697,4102643.673,4148549.798,4194425.212,4240280.976,4286014.731,4331391.205,4376099.655,4419897.601,4462676.731,4504428.373,4545133.094
Australia,18271.685,18467.588,18665.045,18864.112,19065.837,19268.533,19475.191,19696.972,19948.429,20238.903,20573.606,20946.664,21342.493,21739.04,22120.064,22479.799,22821.849,23150.729,23474.668,23799.556,24125.848,24450.561,24772.247
Australia/New Zealand,21989.034,22219.95,22449.019,22682.243,22924.836,23176.466,23438.397,23719.041,24028.867,24374.258,24759.523,25179.815,25620.818,26062.522,26490.126,26898.164,27289.592,27668.256,28041.368,28414.088,28786.681,29156.379,29521.845
Austria,8017.863,8032.876,8041.05,8051.113,8069.276,8097.748,8134.412,8175.852,8216.805,8253.65,8284.735,8311.783,8338.453,8370.038,8409.949,8459.864,8517.548,8577.782,8633.22,8678.657,8712.137,8735.453,8751.82
Azerbaijan,7855.553,7925.669,7989.904,8054.125,8122.741,8197.279,8277.015,8361.359,8448.882,8538.606,8630.195,8724.304,8821.908,8924.407,9032.457,9146.379,9264.917,9385.293,9503.771,9617.484,9725.376,9827.589,9923.914
Bahamas,283.79,286.97,290.06,293.572,297.89,303.135,309.157,315.746,322.526,329.249,335.83,342.328,348.676,354.856,360.832,366.568,372.039,377.24,382.169,386.838,391.232,395.361,399.285
Bahrain,578.668,594.93,613.702,636.545,664.614,697.549,735.148,778.711,829.848,889.168,958.414,1035.891,1114.59,1185.029,1240.862,1278.269,1300.217,1315.411,1336.397,1371.855,1425.171,1492.584,1566.993
Bangladesh,121269.645,123854.64,126447.965,129029.691,131581.243,134107.16,136600.667,139019.001,141307.489,143431.101,145368.004,147139.191,148805.814,150454.708,152149.102,153911.916,155727.053,157571.292,159405.279,161200.886,162951.56,164669.751,166368.149
Barbados,265.942,266.945,267.95,268.922,269.847,270.685,271.478,272.258,273.091,274.009,275.039,276.15,277.319,278.47,279.569,280.601,281.585,282.509,283.385,284.217,284.996,285.719,286.388
Belarus,10109.072,10073.061,10033.061,9986.933,9933.609,9872.961,9807.132,9740.054,9676.902,9621.543,9575.043,9536.864,9507.331,9486.239,9473.071,9468.5,9471.73,9478.902,9484.851,9485.772,9480.042,9468.338,9452.113
Belgium,10208.275,10223.789,10237.299,10255.16,10282.033,10319.019,10364.885,10419.032,10480.117,10546.886,10619.567,10697.835,10779.173,10860.29,10938.739,11013.083,11083.55,11151.512,11219.161,11287.94,11358.379,11429.336,11498.519
Belize,213.676,221.606,230.284,239.026,247.315,254.984,262.206,269.13,276.089,283.277,290.747,298.407,306.165,313.929,321.608,329.192,336.701,344.181,351.694,359.288,366.954,374.681,382.444
Benin,6094.259,6281.639,6470.265,6664.098,6865.951,7076.733,7295.394,7520.555,7750.004,7982.225,8216.896,8454.791,8696.916,8944.706,9199.259,9460.802,9729.16,10004.451,10286.712,10575.952,10872.298,11175.692,11485.674
Bermuda,62.986,63.259,63.511,63.767,64.028,64.323,64.61,64.87,65.065,65.13,65.063,64.892,64.625,64.303,63.956,63.581,63.179,62.771,62.382,62.003,61.666,61.349,61.07
Bhutan,519.282,528.754,542.155,557.543,573.416,589.6,606.399,623.434,640.282,656.639,672.228,686.958,700.95,714.458,727.641,740.51,752.967,764.961,776.448,787.386,797.765,807.61,817.054
Bolivia (Plurinational State of),7717.443,7870.855,8026.254,8182.712,8339.512,8496.375,8653.345,8810.42,8967.741,9125.409,9283.334,9441.444,9599.855,9758.748,9918.242,10078.343,10239.004,10400.264,10562.159,10724.705,10887.882,11051.6,11215.674
Bosnia and Herzegovina,3780.378,3752.431,3750.485,3759.118,3766.706,3771.284,3775.807,3779.247,3781.287,3781.53,3779.468,3774,3763.599,3746.561,3722.084,3688.865,3648.2,3604.999,3566.002,3535.961,3516.816,3507.017,3503.554
Botswana,1604.06,1637.635,1669.625,1699.862,1728.34,1754.935,1779.953,1804.339,1829.33,1855.852,1884.238,1914.414,1946.351,1979.882,2014.866,2051.339,2089.315,2128.507,2168.573,2209.197,2250.26,2291.661,2333.201
Brazil,164913.306,167545.164,170170.64,172759.243,175287.587,177750.67,180151.021,182482.149,184738.458,186917.361,189012.412,191026.637,192979.029,194895.996,196796.269,198686.688,200560.983,202408.632,204213.133,205962.108,207652.865,209288.278,210867.954
British Virgin Islands,18.833,19.27,19.722,20.188,20.645,21.085,21.529,22,22.541,23.168,23.905,24.731,25.604,26.447,27.224,27.901,28.509,29.056,29.588,30.113,30.661,31.196,31.719
Brunei Darussalam,304.699,312.038,319.222,326.289,333.241,340.117,346.867,353.389,359.523,365.158,370.25,374.864,379.252,383.772,388.662,394.013,399.748,405.716,411.704,417.542,423.196,428.697,434.076
Bulgaria,8291.872,8211.726,8137.564,8066.883,7997.787,7930.546,7866.086,7803.881,7743.264,7683.763,7624.959,7566.949,7510.331,7456.03,7404.59,7356.213,7310.383,7266.141,7222.145,7177.396,7131.494,7084.571,7036.848
Burkina Faso,10372.745,10665.546,10968.724,11282.701,11607.942,11944.587,12293.1,12654.621,13030.569,13421.93,13829.177,14252.021,14689.726,15141.099,15605.217,16081.904,16571.216,17072.723,17585.977,18110.624,18646.433,19193.382,19751.651
Burundi,6041.112,6112.097,6186.352,6278.94,6400.706,6555.829,6741.569,6953.113,7182.451,7423.289,7675.338,7939.573,8212.264,8489.031,8766.93,9043.508,9319.71,9600.186,9891.79,10199.27,10524.117,10864.245,11216.45
Cabo Verde,398.773,408.175,417.323,426.285,435.079,443.716,452.106,460.147,467.664,474.567,480.795,486.438,491.723,496.963,502.384,508.067,513.979,520.106,526.437,532.913,539.56,546.388,553.335
Cambodia,10980.273,11295.88,11597.739,11883.636,12152.354,12402.473,12634.729,12853.124,13063.377,13270.201,13474.489,13676.693,13880.509,14090.208,14308.74,14537.886,14776.866,15022.692,15270.79,15517.635,15762.37,16005.373,16245.729
Cameroon,13812.472,14165.423,14523.57,14891.891,15274.234,15671.927,16084.886,16513.822,16959.081,17420.795,17899.562,18395.389,18907.008,19432.541,19970.495,20520.447,21082.383,21655.715,22239.904,22834.522,23439.189,24053.727,24678.234
Canada,29622.132,29903.15,30178.134,30453.884,30735.773,31024.732,31320.889,31627.806,31949.417,32287.98,32645.483,33019.932,33404.548,33789.831,34168.668,34538.622,34900.705,35255.495,35604.728,35949.709,36289.822,36624.199,36953.765
Caribbean,36838.907,37246.271,37643.88,38030.111,38403.986,38765.019,39114.069,39453.535,39786.576,40115.79,40441.529,40763.754,41083.981,41403.983,41724.731,42047.196,42370.627,42691.676,43005.785,43309.611,43601.839,43883.319,44155.323
Caribbean Netherlands,15.164,15.083,14.887,14.638,14.393,14.127,13.886,13.748,13.894,14.403,15.337,16.649,18.153,19.646,20.94,21.994,22.844,23.506,24.071,24.57,25.019,25.398,25.702
Cayman Islands,33.536,35.597,37.74,39.808,41.687,43.316,44.738,46.028,47.299,48.622,50.031,51.483,52.926,54.279,55.507,56.579,57.523,58.371,59.172,59.963,60.765,61.559,62.348
Central African Republic,3435.821,3517.309,3597.385,3676.508,3754.986,3832.203,3907.612,3981.665,4055.036,4127.91,4201.758,4275.8,4345.386,4404.23,4448.525,4476.153,4490.416,4499.653,4515.392,4546.1,4594.621,4659.08,4737.423
Central America,129181.431,131470.922,133705.3,135878.796,137992.226,140033.253,142014.325,143991.441,146039.807,148211.558,150528.927,152971.868,155497.581,158041.891,160556.595,163028.364,165467.124,167875.536,170262.816,172635.109,174988.756,177316.317,179616.163
Central Asia,53885.824,54292.276,54684.25,55097.49,55559.337,56082.293,56665.898,57307.871,58000.41,58737.838,59518.516,60345.972,61224.785,62161.019,63156.447,64212.215,65319.007,66454.885,67590.949,68705.005,69787.76,70839.675,71860.465
